ERR12319363.1.5426611	6791	1955	1500	1530	1806	0	0	0	494	0	0	0
ERR12319363.1.253240	14771	4325	3401	3456	3589	0	0	0	1236	0	0	0
ERR12319363.1.4629273	12350	3216	2967	3163	3004	0	0	0	1280	0	0	0
ERR12319363.1.4975035	10144	2727	2726	2265	2426	0	0	0	1044	0	0	0
ERR12319363.1.5888484	2963	716	651	741	855	0	0	0	252	0	0	0
ERR12319363.1.4259313	11885	3385	2906	2543	3051	0	0	0	916	0	0	0
ERR12319363.1.1231512	6067	1466	1369	1479	1753	0	0	0	380	0	0	0
ERR12319363.1.2087753	13903	3700	2903	3185	4115	0	0	0	1214	0	0	0
ERR12319363.1.4717333	13894	2810	3027	3737	4320	0	0	0	1332	0	0	0
ERR12319363.1.6115596	4457	1198	950	1076	1233	0	0	0	402	0	0	0
ERR12319363.1.2571604	4385	1278	1092	1027	988	0	0	0	390	0	0	0
ERR12319363.1.6364938	7017	1823	1690	1749	1755	0	0	0	724	0	0	0
ERR12319363.1.1694001	17926	4608	4262	4381	4675	0	0	0	1660	0	0	0
ERR12319363.1.3189789	6762	1487	1470	1747	2058	0	0	0	484	0	0	0
ERR12319363.1.3246451	12667	2810	2731	3358	3768	0	0	0	922	0	0	0
ERR12319363.1.1808150	8592	2220	2139	1933	2300	0	0	0	746	0	0	0
ERR12319363.1.172265	5031	790	1235	1214	1792	0	0	0	344	0	0	0
ERR12319363.1.1365325	5572	1631	1578	1088	1275	0	0	0	358	0	0	0
ERR12319363.1.6822228	9175	2191	2414	2223	2347	0	0	0	1004	0	0	0
ERR12319363.1.2126331	4818	1556	846	822	1594	0	0	0	248	0	0	0
ERR12319363.1.3241208	14913	3702	3837	3716	3658	0	0	0	1836	0	0	0
ERR12319363.1.6843611	4659	1470	757	994	1438	0	0	0	250	0	0	0
ERR12319363.1.1353987	2770	703	765	654	648	0	0	0	274	0	0	0
ERR12319363.1.1676536	9298	2244	2168	2390	2496	0	0	0	882	0	0	0
ERR12319363.1.5975478	5235	1448	1146	1221	1420	0	0	0	422	0	0	0
ERR12319363.1.3393068	8077	2062	2053	1941	2021	0	0	0	740	0	0	0
ERR12319363.1.2759004	2367	523	408	635	801	0	0	0	126	0	0	0
ERR12319363.1.3309676	5150	1451	1259	1178	1262	0	0	0	482	0	0	0
ERR12319363.1.865317	6071	1470	1671	1484	1446	0	0	0	694	0	0	0
ERR12319363.1.1434289	5155	1465	1139	1107	1444	0	0	0	496	0	0	0
ERR12319363.1.1368866	5213	1510	1348	1149	1206	0	0	0	444	0	0	0
ERR12319363.1.3686126	6521	370	2658	2217	1276	0	0	0	1858	0	0	0
ERR12319363.1.5377128	18437	5248	4222	4388	4579	0	0	0	1626	0	0	0
ERR12319363.1.491811	8945	1558	2942	2733	1712	0	0	0	2140	0	0	0
ERR12319363.1.6583508	4505	1228	1101	1191	985	0	0	0	506	0	0	0
ERR12319363.1.6505826	4371	1126	1031	1096	1118	0	0	0	312	0	0	0
ERR12319363.1.4210877	5421	1404	1478	1283	1256	0	0	0	532	0	0	0
ERR12319363.1.485927	8475	2207	2227	1862	2179	0	0	0	646	0	0	0
ERR12319363.1.6280925	7094	1678	1564	1853	1999	0	0	0	572	0	0	0
ERR12319363.1.1832458	5997	1193	1625	1672	1507	0	0	0	754	0	0	0
